This is Bill Lange. I'm Dave Gallo.	大卫.盖罗：这位是比尔.兰格， 我是大卫.盖罗。
It wasn't about the end result.	而不是最后的结果。
And that's the beautiful thing about the camera.	这就是摄像机的魅力所在。
They used to say the pen is mightier than the sword. I think the camera is.	人们通常说笔比剑更有分量。我想摄像机也是。
And just staying in the moment with it was a beautiful thing and really empowering actually.	还是说到摄像机很有魅力， 并且的确很强大。
So anyway, we began the journey.	无论如何，我们开始这个旅程了，
And here you see people like Mary Robinson, I went to see in Geneva.	这里你可以看到玛丽·鲁滨逊这样的人，我当时去日内瓦看她。
I'm cutting my hair, it's getting short and long, because every time I saw Kofi Annan, I was so worried that he thought I was a hippie that I cut it, and that was kind of what was going on.	我打算去剪剪我的头发，它变得长短不一。 因为每次我看到科菲·安南， 我都担心他会认为我是一个嬉皮士，所以我把它剪了。 那就是我当时在做的事情。
Yeah, I'm not worried about it now.	恩，所以我现在不用担心头发了。
So Mary Robinson, she said to me, "Listen, this is an idea whose time has come. This must be created."	说到玛丽·鲁滨逊， 她跟我说，"这个想法的时机已经成熟了，它必须被实现。"
Kofi Annan said, "This will be beneficial to my troops on the ground."	科菲·安南说，"这将对我的地面部队很有帮助。"
The OAU at the time, led by Salim Ahmed Salim, said, "I must get the African countries involved."	那时的非洲统一组织由萨利姆，艾哈迈德·萨利姆领导， 他说，"我必须让非洲国家参与进来。"
Dr. Oscar Arias, Nobel Peace laureate, president now of Costa Rica, said, "I'll do everything that I can."	奥斯卡·阿里亚斯博士，诺贝尔和平奖获得者， 现在是哥斯达黎加的总统。 他说，"我将做我可以做的一切。"
So I went and saw Amr Moussa at the League of Arab States.	所以我去见到了阿拉伯联盟秘书长穆萨，
I met Mandela at the Arusha peace talks, and so on and so on and so on -- while I was building the case to prove whether this idea would make sense.	我在阿鲁沙的和平谈判中见到了曼德拉， 等等，等等...... 同时我也一直在创立这个项目， 来判断这个想法 是否有意义。
And then we were listening to the people. We were documenting everywhere.	我们一直在听那些人讲各种各样的故事。我们到处记录。
76 countries in the last 12 years, I've visited.	过去12年我参观了76个国家。
And I've always spoken to women and children wherever I've gone.	无论我去哪里，我都跟当地的妇女和儿童聊天，
I've recorded 44,000 young people.	我已经采访了了44,000位年轻人，
I've recorded about 900 hours of their thoughts.	记录了900小时关于他们的想法的视频。
I'm really clear about how young people feel when you talk to them about this idea of having a starting point for their actions for a more peaceful world through their poetry, their art, their literature, their music, their sport, whatever it might be.	我真的非常了解 当你和他们谈到这个想法， 为他们建立更加和平的世界提供起点，这些年轻人是怎么想的 通过他们的诗歌、艺术、文学、 他们的音乐、运动，或者无论其他什么。
And we were listening to everybody.	我们听取每个人的观点
And it was an incredibly thing, working with the U.N.	这的确是一个不可思议的事情，与联合国合作
and working with NGOs and building this case.	与非政府组织合作，建立这个项目。
I felt that I was presenting a case on behalf of the global community to try and create this day.	我觉得我在呈现一个项目， 代表全球社区 来尝试建立这一天。
And the stronger the case and the more detailed it was, the better chance we had of creating this day.	这个项目越强大、越详细 我们创造这一天的机会就越多。
And it was this stuff, this, where I actually was in the beginning kind of thinking no matter what happened, it didn't actually matter.	就是这些，这些 实际上就是我最开始在的地方 我想无论发生什么，实际上都没关系
It didn't matter if it didn't create a day of peace.	如果它没有创造出和平的一天也没关系。
The fact is that, if I tried and it didn't work, then I could make a statement about how unwilling the global community is to unite -- until, it was in Somalia, picking up that young girl.	事实是，如果我尝试过但没有成功， 那我就可以做一个声明 关于这个全球社区是多么不想团结起来 直到我在索马里偶然遇到那个小女孩。
And this young child who'd taken about an inch and a half out of her leg with no antiseptic, and that young boy who was a child soldier, who told me he'd killed people -- he was about 12 -- these things made me realize that this was not a film that I could just stop.	这个小孩， 在没有消毒的情况下从她的腿上取出一个一英尺半的子弹 那个小男孩是一个童子军， 他告诉我他已经杀过人了——他大约12岁 这些事情使我意识到 这并不是一个我可以随时终止的电影
And that actually, at that moment something happened to me, which obviously made me go, "I'm going to document.	事实上，那一刻我想到了一些事情 这显然使我开始行动，"我要开始做记录片。
If this is the only film that I ever make, I'm going to document until this becomes a reality."	如果这是我唯一制作的电影 我将继续记录直到这变成现实。"
Because we've got to stop, we've got to do something where we unite -- separate from all the politics and religion that, as a young person, is confusing me.	因为我们需要停下来，我们需要去做一些事 在我们团结的地方 远离所有的政治和宗教 作为一个年轻人，这使我困惑。
I don't know how to get involved in that process.	我不知道如何参与到这个过程中来。
And then on the seventh of September, I was invited to New York.	之后在9月7日，我被邀请去纽约。
The Costa Rican government and the British government had put forward to the United Nations General Assembly, with 54 co-sponsors, the idea of the first ever Ceasefire Nonviolence Day, the 21st of September, as a fixed calendar date, and it was unanimously adopted by every head of state in the world.	哥斯达黎加政府和英国政府 向联合国大会提出 和其他54个赞助方一起， 创造有史以来第一个无战火、无暴力日 并将9月21日作为一个固定的日期 这个提议被世界上各个国家首脑一致采纳通过。
Yeah, but there were hundreds of individuals, obviously, who made that a reality.	是的，但是显然成千上万的人使它成为了现实。
And thank you to all of them.	谢谢这些人们。
That was an incredible moment.	那的确是一个激动人心的时刻。
I was at the top of the General Assembly just looking down into it and seeing it happen.	我当时站在联合国大会的顶部，向下看到整个过程。
And as I mentioned, when it started, we were at the Globe, and there was no press.	正如我说过的，当它开始时， 我们在"全球"这个分会场，没有媒体在，
And now I was thinking, "Well, the press it really going to hear this story."	这时我在想，"媒体的确应该来听听这个故事"。
And suddenly, we started to institutionalize this day.	突然，我们开始让这天变成一项制度。
Kofi Annan invited me on the morning of September the 11th to do a press conference.	科菲·安南邀请我在9月11日上午 来做一个媒体发布会。
And it was 8:00 AM when I stood there.	当我站在那里的时候是早晨8点
And I was waiting for him to come down, and I knew that he was on his way.	我当时在等他下来，而且我知道他就在路上。
And obviously he never came down. The statement was never made.	但是显然他一直没有出现。那个声明也没有做成。
The world was never told there was a day of global ceasefire and nonviolence.	世界人民从来没有被告知有一个无战火、无暴力日。
And it was obviously a tragic moment for the thousands of people who lost their lives, there and then subsequently all over the world.	这显然是一个悲惨的时刻 对于那些成千上万失去生命的人来说 这些事情在全世界范围内时时刻刻都在发生，
It never happened.	这个声明从来都没有被宣布。
And I remember thinking, "This is exactly why, actually, we have to work even harder.	我还记得当时想， "这正是为什么事实上 我们需要更加努力地工作。
And we have to make this day work.	我们需要让这一天成为现实。
It's been created; nobody knows.	它已经诞生了，但是没有人知道。
But we have to continue this journey, and we have to tell people, and we have to prove it can work."	但是我们还需要继续我们的旅程， 我们需要告诉人们， 我们需要证明这一天的创造是有效的。"
And I left New York freaked, but actually empowered.	我心情低落地离开了纽约 但实际上充满了力量
And I felt inspired by the possibilities that if it did, then maybe we wouldn't see things like that.	我有一种被鼓舞的感觉 想到有可能 这个声明一旦发布，我们或许就不能看到那样的事情了。
I remember putting that film out and going to cynics.	我记得放映那个电影，并且到愤世嫉俗者中去。
I was showing the film, and I remember being in Israel and getting it absolutely slaughtered by some guys having watched the film -- that it's just a day of peace, it doesn't mean anything.	我在展示这个电影 我还记得在以色列，它被完全破坏 被一些看过这个电影的人毁坏 这只是一天的和平，并不意味着任何事情。
It's not going to work; you're not going to stop the fighting in Afghanistan; the Taliban won't listen, etc., etc.	但是这没有用，你不可能阻止阿富汗的战争 塔利班是不会听的 ，等等。
It's just symbolism.	这只是一种象征。
And that was even worse than actually what had just happened in many ways, because it couldn't not work.	那甚至更糟糕 事实上在许多方面比真正发生的事情还糟糕。 因为它没有生效。
I'd spoken in Somalia, Burundi, Gaza, the West Bank, India, Sri Lanka, Congo, wherever it was, and they'd all tell me, "If you can create a window of opportunity, we can move aid, we can vaccinate children.	我曾经在索马里，布隆迪，加沙，约旦河西岸， 印度，斯里兰卡，刚果做演讲，无论在哪， 他们都告诉我，"如果你能创造一扇机会的窗户， 我们可以提供帮助，我们可以为孩子们注射疫苗。
Children can lead their projects.	孩子们可以组织他们自己的项目，
They can unite. They can come together. If people would stop, lives will be saved."	他们可以团结起来，聚在一起。如果人们肯停下战争，就会挽救很多生命。"
That's what I'd heard.	这就是我听到的内容。
And I'd heard that from the people who really understood what conflict was about.	并且我是从那些真正懂得战争和冲突的意义的人们口中听到。
And so I went back to the United Nations.	然后我又回到了联合国。
I decided that I'd continue filming and make another movie.	我决定继续拍摄并制作另一部电影。
And I went back to the U.N. for another couple of years.	然后我又回到联合国待了两年。
We started moving around the corridors of the U.N. system, governments and NGOs, trying desperately to find somebody to come forward and have a go at it, see if we could make it possible.	我们开始在联合国系统的周围活动， 以及政府和非政府组织的周围， 拼命尝试去找到一些人 可以主动参与，并尝试一下 让我们看看这是否可能实现。
And after lots and lots of meetings obviously, I'm delighted that this man, Ahmad Fawzi, one of my heroes and mentors really, he managed to get UNICEF involved.	经过不计其数的会议之后，显然 我很中意这个人，艾哈迈德·法齐， 事实上他是我心中的英雄和导师之一， 他成功使联合国儿童基金会参与到我们的活动中来
And UNICEF, God bless them, they said, "Okay, we'll have a go."	说到联合国儿童基金会，上帝保佑他们，他们说，"好的，我们会参加"。
And then UNAMA became involved in Afghanistan.	然后联合国阿富汗援助团也在阿富汗参加了这个活动
It was historical. Could it work in Afghanistan with UNAMA and WHO and civil society, etc., etc., etc.?	这是历史性的，这能否在阿富汗成功 有了联合国阿富汗援助团和世界卫生组织 以及民间组织等等的帮助？
And I was getting it all on film and I was recording it, and I was thinking, "This is it. This is the possibility of it maybe working.	我将这些都放在电影上，并且正在记录这些 我就想，"就是它，这就是它成功的可能性。"
But even if it doesn't, at least the door is open and there's a chance."	但是即使它不成功，至少打开了一扇门， 于是就有了机会
And so I went back to London, and I went and saw this chap, Jude Law.	所以我回到了伦敦， 去找这个小伙子，裘德洛
And I saw him because he was an actor, I was an actor, I had a connection to him, because we needed to get to the press, we needed this attraction, we needed the media to be involved.	我去找他因为他是个演员，我也是个演员 我跟他有某种联系 因为我们需要去找媒体，我们需要他的号召力 我们需要媒体参与进来
Because if we start pumping it up a bit maybe more people would listen and there'd be more -- when we got into certain areas, maybe there would be more people interested.	因为如果媒体开始做更多的宣传，就会有更多的人关注 然后又会有更多 当我们进入特定地区时 可能会有更多的人对这个感兴趣
And maybe we'd be helped financially a little bit more, which had been desperately difficult.	而且没准我们会在经济上得到更多的帮助 我们的经济已经十分困难
I won't go into that.	我将不会详细说这个
So Jude said, "Okay, I'll do some statements for you."	然后裘徳说，"好吧，我为你做一些宣传"。
While I was filming these statements, he said to me, "Where are you going next?"	当我在录这些宣传视频时，他对我说，"你下一步要去哪？"
I said, "I'm going to go to Afghanistan." He said, "Really?"	我说，"我要去阿富汗"。他说，"真的么？"
And I could sort of see a little look in his eye of interest.	我可以从他眼中读到一丝兴趣。
So I said to him, "Do you want to come with me?	于是我跟他说，"你想跟我一起去么？"
It'd be really interesting if you came.	如果你要去的话一定很有意思。
It would help and bring attention.	这将会很有帮助，并且引起关注。
And that attention would help leverage the situation, as well as all of the other sides of it."	这种关注 会影响局势， 还有所有其他方面。
I think there's a number of pillars to success.	我认为有很多方法可以成功，
One is you've got to have a great idea.	一个是你有一个伟大的想法。
The other is you've got to have a constituency, you've got to have finance, and you've got to be able to raise awareness.	另一个是你有一批拥护者，你有一些经济支持， 你还可以提高大家的意识
And actually I could never raise awareness by myself, no matter what I'd achieved.	事实上凭我自己绝对不能提高大众意识，不管我做成了什么。
So these guys were absolutely crucial.	所以像裘德洛这些人绝对是非常关键的。
So he said yes, and we found ourselves in Afghanistan.	然后他同意了。 于是我们到了阿富汗。
It was a really incredible thing that when we landed there, I was talking to various people, and they were saying to me, "You've got to get everybody involved here.	当我们到达那里的时候，的确很有趣， 我跟不同的人说话，他们对我说， "你需要把这里的每个人都召集进来。
You can't just expect it to work. You have to get out and work."	你不能只想着让它自己生效，你必须走出去工作使之生效。
And we did, and we traveled around, and we spoke to elders, we spoke to doctors, we spoke to nurses, we held press conferences, we went out with soldiers, we sat down with ISAF, we sat down with NATO, we sat down with the U.K. government.	然后我们开始这样做，我们到处环游， 向老人演讲，向医生演讲，向护士演讲， 我们召开新闻发布会，跟战士一起出去 和驻阿富汗"国际安全援助部队"谈话，和北约谈话， 和英国政府谈话
I mean, we basically sat down with everybody -- in and out of schools with ministers of education, holding these press conferences, which of course, now were loaded with press, everybody was there.	我的意思是说，我们基本上和所有人都谈过了 和教育部长们在学校进进出出 并召开媒体发布会 当然，现在有媒体在场了，几乎每个人都在。
There was an interest in what was going on.	大家对这个活动有了兴趣
This amazing woman, Fatima Gailani, was absolutely instrumental in what went on as she was the spokesperson for the resistance against the Russians.	这个不可思议的女人，法蒂玛·马格拉尼，对事情的进展有很大的帮助 因为她是对抗俄罗斯的发言人。
And her Afghan network was just absolutely everywhere.	她的阿富汗网络 几乎遍及各处。
And she was really crucial in getting the message in.	而且她对于收集信息也很关键。
And then we went home. We'd sort of done it.	然后我们就回家了，我们差不多做完这件事了。
We had to wait now and see what happened.	现在我们需要等待，然后看看会发生什么。
And I got home, and I remember one of the team bringing in a letter to me from the Taliban.	于是我回家了， 我还记得队里有个人给我带了一封信， 从塔利班。
And that letter basically said, "We'll observe this day.	那封信的大概内容是，"我们将遵守这天，
We will observe this day.	我们将遵守这天。
We see it as a window of opportunity.	我们把这个视为机会之门，
And we will not engage. We're not going to engage."	我们不会参与。我们不会去参与。
And that meant that humanitarian workers wouldn't be kidnapped or killed.	这意味着人道主义工作人员 将不会被绑架或者杀戮。
And then suddenly, I obviously knew at this point, there was a chance.	然后突然，我明显感到这个时机，是一个机会。
And days later, 1.6 million children were vaccinated against polio as a consequence of everybody stopping.	几天之后， 160万儿童接种了小儿麻痹疫苗 作为人人停止战争的结果。
And like the General Assembly, obviously the most wonderful, wonderful moment.	就像联合国大会， 显然这是最棒、最好的时刻。
And so then we wrapped the film up and we put it together because we had to go back.	然后我们收好胶卷然后把它们放在一起， 因为我们需要回去，
We put it into Dari and Pashto. We put it in the local dialects.	我们把它翻译成达里语和普什图语。我们把它翻译成当地方言。
We went back to Afghanistan, because the next year was coming, and we wanted to support.	我们回到了阿富汗 应为明年要来了，我们想提供支持，
But more importantly, we wanted to go back, because these people in Afghanistan were the heroes.	但是更重要的是，我们想回去， 因为阿富汗的这些人是英雄
They were the people who believed in peace and the possibilities of it, etc., etc. -- and they made it real.	他们是那些相信和平的人， 并且相信这一天诞生的可能——而且他们将之变成现实。
And we wanted to go back and show them the film and say, "Look, you guys made this possible. And thank you very much."	我们想回去，把这个电影放给他们看， 然后说，"看，你们把这一天变成现实，非常感谢。"
And we gave the film over.	我们放映了这个电影，
Obviously it was shown, and it was amazing.	显然它很棒，
And then that year, that year, 2008, this ISAF statement from Kabul, Afghanistan, September 17th: "General Stanley McChrystal, commander of international security assistance forces in Afghanistan, announced today ISAF will not conduct offensive military operations on the 21st of September."	然后那年，2008年， 9月17日我们收到了来自来自阿富汗喀布尔驻阿富汗"国际安全援助部队"的声明： "斯坦利·麦克里斯特尔将军， 驻阿富汗国际安全援助部队最高指挥官， 今天宣布国际安全援助部队将不会实行任何侵略性的军事行动 在9月21日。"
They were saying they would stop.	他们说他们将会停止。
And then there was this other statement that came out from the U.N. Department of Security and Safety saying that, in Afghanistan, because of this work, the violence was down by 70 percent.	然后又有这一份声明， 来自国家安全局， 声明说，在阿富汗， 因为这些努力， 暴力事件减少了70%。
70 percent reduction in violence on this day at least.	至少在这天暴力事件减少了70%。
And that completely blew my mind almost more than anything.	这个完全让我震撼， 比任何事都更甚。
And I remember being stuck in New York, this time because of the volcano, which was obviously much less harmful.	我还记得上次滞留在纽约的时候，不过这次是因为火山， 显然这次更加无足轻重。
And I was there thinking about what was going on.	我当时在想事情会如何进展，
And I kept thinking about this 70 percent.	我一直在想70%这个数字，
70 percent reduction in violence -- in what everyone said was completely impossible and you couldn't do.	暴力事件减少70% 发生在每个人都说完全不可能的事情上， 你无法相信，
And that made me think that, if we can get 70 percent in Afghanistan, then surely we can get 70 percent reduction everywhere.	这使我想到，如果我们在阿富汗减少了70%的暴力事件， 那么我们毫无疑问可以在任何地方都达到这个数字。
We have to go for a global truce.	我们需要努力达到全球的休战，
We have to utilize this day of ceasefire and nonviolence and go for a global truce, go for the largest recorded cessation of hostilities, both domestically and internationally, ever recorded.	我们需要利用这无战火、无暴力的一天， 然后争取达到全球停战， 争取有史以来规模最大的停战记录， 不仅在国内，而且在国际上，有记录以来。
That's exactly what we must do.	这正是我们必须要做的事情。
And on the 21st of September this year, we're going to launch that campaign at the O2 Arena to go for that process, to try and create the largest recorded cessation of hostilities.	今年的9月21日， 我们将在千禧大棚子举办这个活动， 来争取这个过程 试着创造有史以来最大的停战记录。
And we will utilize all kinds of things -- have a dance and social media and visiting on Facebook and visit the website, sign the petition.	我们将用各种途径， 舞会，社会媒体， 以及facebook和我们的网站，签署请愿书，
And it's in the six official languages of the United Nations.	用联合国的六种官方语言来进行。
And we'll globally link with government, inter-government, non-government, education, unions, sports.	我们在国际上将与各个政府、政府间组织、 以及非政府组织、教育组织、联盟、体育组织合作，
And you can see the education box there.	并且你在那可以看到教育专席，
We've got resources at the moment in 174 countries trying to get young people to be the driving force behind the vision of that global truce.	现在我们得到了174个国家的资源 努力让年轻人成为驱动力 来推动全球停战的事业。
And obviously the life-saving is increased, the concepts help.	显然拯救生命的行动增加了，这些概念生效了。
Linking up with the Olympics -- I went and saw Seb Coe. I said, "London 2012 is about truce.	与奥林匹克合作， 我去见了勒布·安科，我说："伦敦2012奥运会应该与停战有关。
Ultimately, that's what it's about."	这是它最终的目标。
Why don't we all team up? Why don't we bring truce to life?	为什么我们不联合起来呢？为什么我们不把停战带到生活中来呢？
Why don't you support the process of the largest ever global truce?	为什么不支持有史以来最大的全球停战计划呢？
We'll make a new film about this process.	我们将为这个过程制作一个新的电影。
We'll utilize sport and football.	我们将利用运动和足球。
On the Day of Peace, there's thousands of football matches all played, from the favelas of Brazil to wherever it might be.	在那个和平的一天中，会有成千上万的足球比赛同时进行， 从巴西的贫民区到其他任何地方。
So, utilizing all of these ways to inspire individual action.	利用这些方式 来鼓励个人行动，
And ultimately, we have to try that.	最终，我们需要尝试这个，
We have to work together.	我们需要一起努力，
And when I stand here in front of all of you, and the people who will watch these things, I'm excited, on behalf of everybody I've met, that there is a possibility that our world could unite, that we could come together as one, that we could lift the level of consciousness around the fundamental issues, brought about by individuals.	当我现在站在你们所有人， 以及正在看这些事情发生的人面前， 我非常高兴，代表我见到过的每个人， 来告诉你们世界团结是有可能的， 我们可以像一家人一起聚在一起， 我们可以在人类的基本问题上提高意识， 这些问题是由我们每个人带来的。
I was with Brahimi, Ambassador Brahimi.	我曾经见过卜拉希米，卜拉希米大使，
I think he's one of the most incredible men in relation to international politics -- in Afghanistan, in Iraq.	我认为他是与国际政治有关的， 很棒的人之一 ——在阿富汗，在伊拉克
He's an amazing man.	他是一个很棒的人，
And I sat with him a few weeks ago.	几周前我跟他坐了一阵，
And I said to him, "Mr. Brahimi, is this nuts, going for a global truce?	我跟他说，"卜拉希米先生，这个争取全球停战的想法疯狂么？
Is this possible? Is it really possible that we could do this?"	有可能么？我们真的可能做到么？"
He said, "It's absolutely possible."	他说，"这绝对是可能的。"
I said, "What would you do?	我说，"您打算做什么？
Would you go to governments and lobby and use the system?"	您会去政府和议会谈，然后实行这个制度么？"
He said, "No, I'd talk to the individuals."	他说，"不，我会跟每个人去谈。"
It's all about the individuals.	这是关于每个人的，
It's all about you and me.	这是关于你和我的。
It's all about partnerships.	这是关于合作，
It's about your constituencies; it's about your businesses.	这是关于你的选举权，关于你自己的事。
Because together, by working together, I seriously think we can start to change things.	因为只有一起，我们一起努力， 我真的认为我们可以开始做出改变。
And there's a wonderful man sitting in this audience, and I don't know where he is, who said to me a few days ago -- because I did a little rehearsal -- and he said, "I've been thinking about this day and imagining it as a square with 365 squares, and one of them is white."	有一个伟大的人坐在观众席，我不知道他在哪里。 几天之前他跟我说了一些东西——因为我做了一点排练—— 他说，"我在想这天， 并把它想象成一个正方形， 有365个正方形。 其中一个是白色的。"
And it then made me think about a glass of water, which is clear.	这使我想到了一杯水，很干净的水。
If you put one drop, one drop of something, in that water, it'll change it forever.	如果你滴入一滴别的东西， 把这杯水中滴入一滴其他任何东西 它将永远改变。
By working together, we can create peace one day.	通过一起努力，将来某天我们一定可以创造出和平。
Thank you TED. Thank you.	谢谢TED。谢谢大家。
Thank you.	谢谢。
Thanks a lot.	非常感谢。
Thank you very much. Thank you.	非常感谢。谢谢。
One of my favorite parts of my job at the Gates Foundation is that I get to travel to the developing world, and I do that quite regularly.	在盖茨基金会工作， 我最喜欢的部分 就是有机会去到发展中国家。 我经常去那些国家。
And when I meet the mothers in so many of these remote places, I'm really struck by the things that we have in common.	当我去到那些偏远的地方 见到那里做了母亲的妇女们， 我着实被我们的共同之处 所深深感动。
They want what we want for our children and that is for their children to grow up successful, to be healthy, and to have a successful life.	对待孩子，她们和我们一样 望子成龙，望女成风， 希望他们健健康康，顺顺利利。
But I also see lots of poverty, and it's quite jarring, both in the scale and the scope of it.	我还看到了许多贫困的地方， 不管是贫困的程度或范围， 都让人触目惊心。
My first trip in India, I was in a person's home where they had dirt floors, no running water, no electricity, and that's really what I see all over the world.	第一次去印度时，我去到一个人家里， 他家里的地面就是黄土地，没有自来水， 没有通电， 这样的情况我在世界各地都见到过。
So in short, I'm startled by all the things that they don't have.	简单点说，看到他们连这些基本的生活条件都没有 我感到非常吃惊。
But I am surprised by one thing that they do have: Coca-Cola.	但是，让我纳闷的是他们居然都拥有： 可口可乐。
Coke is everywhere.	可口可乐无处不在。
In fact, when I travel to the developing world, Coke feels ubiquitous.	我在发展中国家的时候， 随处都能看到可口可乐。
And so when I come back from these trips, and I'm thinking about development, and I'm flying home and I'm thinking, "We're trying to deliver condoms to people or vaccinations," you know, Coke's success kind of stops and makes you wonder: how is it that they can get Coke to these far-flung places?	于是，我从这些旅行回来之后， 我就在思考发展的问题， 坐在回家的飞机上，我就一边在思考， "我们在想方设法普及安全套和各种疫苗，" 可口可乐的成功让你不得不停下来思考： 他们是怎么把可乐 送到这些穷乡僻壤的？
If they can do that, why can't governments and NGOs do the same thing?	如果他们能做到， 政府以及非政府组织岂不是也能做到吗？
And I'm not the first person to ask this question.	这个问题不是我首先提出的。
But I think, as a community, we still have a lot to learn.	但是我想，作为一个协同合作的团体， 有许多事情是值得我们学习的。
It's staggering, if you think about Coca-Cola.	谈到可口可乐，他们可真是不得了。
They sell 1.5 billion servings every single day.	他们每天能售出 十五亿瓶可乐。
That's like every man, woman and child on the planet having a serving of Coke every week.	这就相当于，地球上的每一个男人，女人，和孩子， 每周都喝掉一瓶可乐。
So why does this matter?	这当中有什么启示呢？
Well, if we're going to speed up the progress and go even faster on the set of Millennium Development Goals that we're set as a world, we need to learn from the innovators, and those innovators come from every single sector.	如果我们想加快 甚至缩短 我们千年发展目标的进程， 那么我们就要向实业家们学习了， 这些实业家们 来自各行各业。
I feel that, if we can understand what makes something like Coca-Cola ubiquitous, we can apply those lessons then for the public good.	我觉得，如果我们能悟出 可口可乐之所以无处不在的原因， 我们就能够把其中奥妙运用在公共服务上。
Coke's success is relevant, because if we can analyze it, learn from it, then we can save lives.	可口可乐的成功是值得借鉴的， 因为我们可以分析它，从中得到启发， 然后用它来拯救生命。
So that's why I took a bit of time to study Coke.	就这样，我花了一点时间来研究可口可乐。
And I think there are really three things we can take away from Coca-Cola.	我认为我们能从可口可乐身上 学到三样东西。
They take real-time data and immediately feed it back into the product.	他们对销售数据进行实时监控 并立即汇报产品的销售情况。
They tap into local entrepreneurial talent, and they do incredible marketing.	他们扶持地方企业人才， 他们的市场营销做得天衣无缝。
So let's start with the data.	我们先看一下他们的数据管理。
Now Coke has a very clear bottom line -- they report to a set of shareholders, they have to turn a profit.	可口可乐有一条非常明确的底线。 他们向一群股东汇报情况。他们必须保证利润。
So they take the data, and they use it to measure progress.	那么他们就要实时监控数据， 他们根据时实数据测量进度，
They have this very continuous feedback loop.	他们持续进行情况汇报。
They learn something, they put it back into the product, they put it back into the market.	当他们得到有用信息，他们立即对产品进行调整， 进而调整市场策略。
They have a whole team called "Knowledge and Insight."	他们有一支团队，叫做"知识与远见"。
It's a lot like other consumer companies.	它很像其它以顾客为导向的公司。
So if you're running Namibia for Coca-Cola, and you have a 107 constituencies, you know where every can versus bottle of Sprite, Fanta or Coke was sold, whether it was a corner store, a supermarket or a pushcart.	假设你是可口可乐在纳米比亚的负责人， 你在当地有107个选区， 每售出一瓶或一罐雪碧，芬达或可乐， 你都知道是从哪里出售的， 不管是在街角的杂货店， 某家超市或者某个手推车上。
So if sales start to drop, then the person can identify the problem and address the issue.	如果销售量下降， 那么负责人就会查出问题 并解决问题。
Let's contrast that for a minute to development.	我们看一下这和发展有什么异同。
In development, the evaluation comes at the very end of the project.	发展过程中所取得的价值 要到最后才能看出高低。
I've sat in a lot of those meetings, and by then, it is way too late to use the data.	我参加过很多相关的会议， 当时， 使用数据的时效早已过期。
I had somebody from an NGO once describe it to me as bowling in the dark.	我曾碰到一位非政府组织的工作人员， 他对我说，这就像是在黑暗里打保龄球，
They said, "You roll the ball, you hear some pins go down.	有人说："把球滚出去，接着球瓶应声倒下。
It's dark, you can't see which one goes down until the lights come on, and then you an see your impact."	四周很暗，只有开灯以后，你才能看见哪支瓶子倒下， 然后你才知道自己的成绩。"
Real-time data turns on the lights.	实时数据 就能把"灯"打开。
So what's the second thing that Coke's good at?	那么可口可乐第二个成功的秘诀是什么呢？
They're good at tapping into that local entrepreneurial talent.	他们善于扶植 当地企业人才。
Coke's been in Africa since 1928, but most of the time they couldn't reach the distant markets, because they had a system that was a lot like in the developed world, which was a large truck rolling down the street.	可口可乐1928年开始在非洲发展， 但是，长期以来，他们都没有成功进入偏远地区的市场， 原因是他们的运营体系基本上还是很像他们在发达国家所采用的体系， 就是把大卡车开到大街上成批地运送。
And in Africa, the remote places, it's hard to find a good road.	而在非洲的偏远地区， 连一条像样点的路都很难找到。
But Coke noticed something -- they noticed that local people were taking the product, buying it in bulk and then reselling it in these hard-to-reach places.	但是，可口可乐注意到了一点。 他们发现当地人会成批购买某种商品， 然后把这些商品分销到偏远地区。
And so they took a bit of time to learn about that.	他们花了一点时间来研究这个情况。
And they decided in 1990 that they wanted to start training the local entrepreneurs, giving them small loans.	于是他们在1990年决定 开始栽培当地的创业者， 给他们提供小额贷款。
They set them up as what they called micro-distribution centers, and those local entrepreneurs then hire sales people, who go out with bicycles and pushcarts and wheelbarrows to sell the product.	他们把这些人分组，称之为微型分销中心。 这些当地创业者接着自主聘请销售人员， 让他们骑着自行车，推着贩卖车 到处叫卖。
There are now some 3,000 of these centers employing about 15,000 people in Africa.	目前这样的分销中心数量已经达到3000多个 在非洲的雇员人数在15000人左右。
In Tanzania and Uganda, they represent 90 percent of Coke's sales.	可口可乐在坦桑尼亚和乌干达的销量 占他们在非洲总销量的 百分之九十。
Let's look at the development side.	我们现在从发展的角度来看看。
What is it that governments and NGOs can learn from Coke?	政府和非政府组织 能够从可口可乐哪里学到什么？
Governments and NGOs need to tap into that local entrepreneurial talent as well, because the locals know how to reach the very hard-to-serve places, their neighbors, and they know what motivates them to make change.	政府和非政府组织 也需要扶植地方上的企业人才， 因为当地人知道如何打入 那些偏远地区的市场，接近他们的邻居， 他们知道如何有效解决问题。
I think a great example of this is Ethiopia's new health extension program.	这里有一个很好的例子， 埃塞俄比亚的医疗普及计划。
The government noticed in Ethiopia that many of the people were so far away from a health clinic, they were over a day's travel away from a health clinic.	埃塞俄比亚政府注意到 该国许多人的住所离健康诊所很远， 他们必须走一天的路才能找到一间诊所。
So if you're in an emergency situation -- or if you're a mom about to deliver a baby -- forget it, to get to the health care center.	如果你发生了什么意外，或者你是个临产的孕妇， 就别动去健康中心的念头了，
