1929 or 1989?	1929年还是1989年?
Russia has bolstered its defenses on the four disputed islands, and, just prior to this month’s summit, he told the Japanese media that the current territorial arrangement suits Russian interests.	俄罗斯加强了其在北方四岛的防御部署，而在本月峰会前夕普京告诉日本媒体，目前的领土状况符合俄罗斯利益。
“We think that we have no territorial problems,” he said. “It’s Japan that thinks that it has a territorial problem with Russia.”	“我们认为我们没有领土问题，”他说，“只是日本认为它和俄罗斯之间存在领土问题。
The US-led sanctions regime and low oil prices have battered the Russian economy, which is expected to contract by 0.8% in 2016.	以美国为首的制裁和低油价打击了俄罗斯经济，预计2016年俄罗斯经济将收缩0.
Thus, Putin is more reluctant than ever to offer territorial concessions, lest it tarnish his domestic image as a staunch defender of Russian national interests.	8%。 因此，普京更加不愿意在领土问题上让步，唯恐玷污其俄罗斯国家利益坚定捍卫者的国内形象。
Against this backdrop, it is not surprising that Abe left the recent “onsen summit” with dashed hopes of resolving the territorial dispute, while Putin returned home with 68 new commercial accords.	在这样的背景下，安倍在“温泉峰会”解决领土争议的希望破灭，而俄罗斯带着68份新商业协议回国，这一结果一点都不令人惊讶。
Many of the new agreements are symbolic, but some are substantive, including deals worth $2.5 billion and an agreement to set up a $1 billion bilateral-investment fund.	新协议中不少是象征性的，但也有一些是实质性的，包括一份价值25亿美元、成立一个10亿美元双边投资基金的协议。
Under the latter agreement, Japan and Russia are supposed create a “special framework” for joint economic activities on the disputed islands.	在后一份协议中，日本和俄罗斯将建立一个“特殊框架”管理争议岛屿上的经济活动。
But the plan has already run into trouble.	但该计划已经遇到了麻烦。
Peter Shelakhaev, a senior Russian official who leads the government’s Far East Investment and Export Agency, has indicated that there are legal hurdles to establishing such a framework, and that Japanese firms doing business on the Kurils would have to pay taxes to Russia.	俄罗斯政府远东投资和出口局（Far East Investment and Export Agency）主管彼得·舍拉哈耶夫（Peter Shelakhaev）表示建立这一框架存在法律障碍，在南千岛群岛经营的日本企业必须向俄罗斯纳税。
If Japan did that, however, it would effectively be recognizing Russia’s jurisdiction over the islands.	但是，如果日本照办，就等于承认了俄罗斯对这些岛屿的司法管辖权。
Abe has thus been denied the legacy that he sought, while Putin has succeeded in easing Russia’s international isolation.	因此，安倍想要的东西被拒绝了，而普京成功地缓解了俄罗斯的孤立。
Abe was the first G7 leader to hold a summit with Putin after Russia annexed Crimea, and now Russia has won Japan’s economic cooperation, too.	安倍是俄罗斯吞并克里米亚后第一位与普京举行峰会的G7领导人，眼下俄罗斯赢得了日本的经济合作。
Japan is the only G7 country that has a territorial dispute with Russia, and it is clearly more eager to reach a deal than the Kremlin is.	日本是唯一一个与俄罗斯存在领土纠纷的G7国家，并且它显然比克里姆林宫更渴望达成协议。
But this has only strengthened Russia’s hand.	但这正中俄罗斯下怀。
While Japan has softened its position, and signaled that it may accept only a partial return of the islands, Russia has grown only more intransigent.	日本立场有所软化，并且释放出信号可以接受局部归还争议岛屿，而俄罗斯的立场变得更加强硬。
After the recent summit, Abe revealed that Putin now seems to be reneging on a 1956 agreement between Japan and the Soviet Union, which stipulates that the smaller two of the four islands will be returned to Japan after a peace treaty is signed.	最新峰会后，安倍透露普京似乎否1956年日本与苏联签订的协议，该协议规定北方四岛中较小的两个将在日俄缔结和平条约后归还日本。
As it happens, this year marks the 60th anniversary of that joint declaration, which was widely viewed as a breakthrough at the time.	今年是这一联合声明签署60周年，当时，这份声明被广泛视为是一个突破。
The Kremlin is now suggesting that its commitment to fulfilling the declaration was conditional on Japan not joining any security alliance against Russia.	如今，克里姆林宫表示它是否会兑现声明的条件是日本不加入针对俄罗斯的安全联盟。
And Putin has expressed concerns that the 1960 Japan-US Security Treaty would extend to the disputed islands if they were returned, thus allowing the US to establish a military presence there.	普京还表示担心，1960年日美安全条约范围将扩大到归还的两岛，从而美国也能够在那里部署军事设施。
Japan is in no position to address Russia’s concerns.	日本没有为俄罗斯解决担忧的立场。
It cannot opt out of the US-led sanctions regime; and it cannot exempt the disputed Kurils from its security treaty with the US, especially now that it has been urging the US to provide an explicit commitment to defend the Japanese-controlled Senkaku Islands, over which China claims sovereignty.	它不能选择跳出美国领导的制裁； 也不能让争议的北方四岛不受日美安全条约的管辖，特别是在如今日本一直在敦促美国就捍卫日本控制、中国主张主权的钓鱼岛做出明确承诺的时候。
Putin, for his part, appears smugly content with his negotiating position.	至于普京，他似乎对他的谈判立场相当满意。
Not only did he arrive almost three hours late to the onsen summit, in keeping with his habit of leaving foreign leaders waiting; he also declined a Japanese government gift – a male companion for his native Japanese Akita dog, which Japan gave him in 2012.	在温泉峰会上，他迟到了三小时，延续了他让外国领导人等他的习惯； 还拒绝了日本政府的礼物——为日本2012年送给他的日本秋田犬配一只雄性伴侣。
There is little hope now that Abe will see tangible returns on the political capital he has invested in cultivating Putin.	如今，安倍为讨好普京而掷下的政治资本基本上是打了水漂。
And Japan’s dilemma will only deepen.	而日本的困境反而更加深化了。
US President-elect Donald Trump’s desire to improve relations with Russia may give Abe leeway to continue wooing Putin; but if Russia gets the US in its corner, it won’t need Japan anymore.	美国当选总统唐纳德·特朗普准备缓和对俄关系或许有利于安倍继续讨好普京； 但如果俄罗斯得到了美国，就再也不需要日本了。
A Berlin Consensus?	柏林共识?
HONG KONG – A recent trip to Berlin brought back memories of an earlier visit in the summer of 1967, when I was a poor student who marveled at the Wall that would divide and devastate an entire society for another two decades.	发自香港——最近的柏林之行令我回想起了自己的上一次到访，那是1967年的夏天，作为一个穷学生的我，在那堵还将继续分割和压抑整个德国社会20多年的高墙前震惊不已。
Berlin today is vibrant and rejuvenated, rebuilt by the German peoples' hard work and sacrifice to unify the country, and an apt setting for the conference of the Institute for New Economic Thinking (INET), which I was there to attend.	如今在德国人民的艰苦努力以及为统一做出的牺牲之下，柏林早已生机勃勃，重现往日活力，此外新经济思维研究中心（Institute for New Economic Thinking）会议适当的议题设置对此也有贡献，而本人正是来参加这场会议的。
The conference’s theme was “Paradigm Lost,” with more than 300 economists, political scientists, systems analysts, and ecologists gathering to rethink economic and political theory for the challenges and uncertainty posed by growing inequality, rising unemployment, global financial disarray, and climate change.	会议的主题是“范式的失落”，超过300位经济学家，政治科学家，系统分析者和生态学者齐聚一堂，讨论当今日渐恶化的不平等状况、失业率升高，全球金融紊乱和气候变化等问题所引发的挑战以及不确定性，并重新思考与之对应的经济和政治理论。
Almost everyone agreed that the old paradigm of neoclassical economics was broken, but there was no agreement on what can replace it.	几乎所有与会代表都赞同一点，那就是新古典主义经济学的旧有范式已经失效，但在何种范式可以取而代之这一点上却未能达成共识。
Nobel laureate Amartya Sen attributed the European crisis to four failures – political, economic, social, and intellectual.	诺贝尔经济学奖得主阿马蒂亚·森（Amartya Sen）在会上指出，欧洲的危机源自于四个方面的失效——政治、经济，社会和智力层面。
The global financial crisis, which began in 2007 as a crisis of US subprime lending and has broadened into a European sovereign-debt (and banking) crisis, has raised questions that we cannot answer, owing to over-specialization and fragmentation of knowledge.	这场全球金融危机——始于2007年美国次级贷危机并最终扩大成为欧洲主权债务（及银行）危机——提出了一些我们无法回答的问题，而其原因则是知识的过度专业化和碎片化。
And yet there is no denying that the world has become too intricate for any simple, overarching theory to explain complex economic, technological, demographic, and environmental shifts.	同时也无可否认，我们的世界已经变得极端复杂，以致无法用任何简单且高度概括性的理论去解释在经济、技术，人口构成以及环境方面的所发生的复杂转变。
In particular, the rise of emerging markets has challenged traditional Western deductive and inductive logic.	尤其重要的是，新兴市场的崛起使西方的演绎和归纳逻辑遭到了挑战。
Deductive inference enables us to predict effects if we know the principles (the rule) and the cause.	演绎推理使我们在知道原理（法则）和起因的情况下可以预测出结果。
By inductive reasoning, if we know the cause and effects, we can infer the principles.	而通过使用归纳法，我们则可以在知道前因后果的情况下推断出中间的原理。
Eastern thinking, by contrast, has been abductive, moving from pragmatism to guessing the next steps.	相比之下，东方的思考方式则是溯因式的，从实用主义出发去猜测下一步该如何行动。
Abductive inference is pragmatic, looking only at outcomes, guessing at the rule, and identifying the cause.	溯因推理注重实效，只关注结果，通过结果来猜想原理，再由此确定原因。
Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.	以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
Free-market thinking evolved from Anglo-Saxon theorists (many from Scotland), who migrated and colonized territories, allowing fortunate individuals to assume that there were no limits to consumption.	自由市场理念演化自盎格鲁-撒克逊理论家（其中许多来自苏格兰），他们不断移居和殖民新的地域，让那些拥有财富的个人觉得消费是会无限增长的。
European continental thinking, responding to urbanization and the need for social order, emphasized institutional analysis of political economy.	而欧洲大陆的思想则主要服务于城市化以及对社会秩序的追求，因此强调对政治经济的体制性分析。
Thus, the emergence of neoclassical economics in the nineteenth century was very much influenced by Newtonian and Cartesian physics, moving from qualitative analysis to quantifying human behavior by assuming rational behavior and excluding uncertainty.	因此，新古典主义经济学在19世纪的崛起在很大程度上都是受到了牛顿和笛卡尔流派物理学的影响，从定性分析转向对人类行为的定量分析，假设这些行为都是理性的同时不断对不确定性加以排除。
This “predetermined equilibrium” thinking – reflected in the view that markets always self-correct – led to policy paralysis until the Great Depression, when John Maynard Keynes’s argument for government intervention to address unemployment and output gaps gained traction.	这一“预先设定的均衡”理念——认为市场总能自我纠正——导致了政策瘫痪，直到大萧条来袭，而约翰·梅纳德·凯恩斯（John Maynard Keynes）则因此提出政府应当出手干涉失业问题，而产出与消费之间的差距问题也得到了重视。
By the 1970’s, the neoclassical general-equilibrium school captured Keynesian economics through real-sector models that assumed that “finance is a veil,” thereby becoming blind to financial markets’ destabilizing effects.	到了1970年代，新古典主义总体均衡学派通过一个假设“金融只是一张包装纸”的实体部门模型说服了凯恩斯主义者，并因此令他们对金融市场的不稳定作用一无所知。
Economists like Hyman Minsky, who tried to correct this, were largely ignored as Milton Friedman and others led the profession’s push for free markets and minimal government intervention.	海曼·明斯基（Hyman Minsky）这样的经济学家尝试去纠正这一错误，但当时领导经济学界的是米尔顿·弗里德曼等自由市场和最小政府的鼓吹者，于是明斯基之辈也只能默默无闻了。
But then technology, demographics, and globalization brought dramatic new challenges that the neoclassical approach could not foresee.	但随后出现的科技，人口分布特征和全球化则令新古典经济学派迎来了意料之外的挑战。
Even as the world’s advanced countries over-consumed through leveraging from derivative finance, four billion of the world’s seven billion people began moving to middle-income status, making huge demands on global resources and raising the issue of ecological sustainability.	随着全球发达国家通过金融衍生品提供的杠杆来实现过度消费，世界70亿人口中有40亿开始进入中等收入状态，不但对全球资源造成了巨大需求，也催生了环境生态的可持续发展问题。
New thinking is required to manage these massive and systemic changes, as well as the integration of giants like China and India into the modern world.	我们需要新的思维来应对这些大规模且系统性的变革需要，同时也需要把中国和印度这样的大国整合进入现代世界。
A change of mindset is needed not just in the West, but also in the East.	不但西方需要转换思维，东方也是如此。
In 1987, the historian Ray Huang explained it for China:	为此历史学家黄仁宇早在1987年就针对中国进行了论述：
“As the world enters the modern era, most countries under internal and external pressure need to reconstruct themselves by substituting the mode of governance rooted in agrarian experience with a new set of rules based on commerce.…This is easier said than done.	&#160;“随着世界进入现代时期，大多数承受着内部和外部压力的国家都必须对自身进行重建，用基于商业的一套法则来取代原���构建于农业经验之上的管治模式……但这是件知易行难的事。
The renewal process could affect the top and bottom layers, and inevitably it is necessary to recondition the institutional links between them.	整个更新过程将影响到上下两个阶层，并不可避免地需要重新修复两者之间的体制联系。
Comprehensive destruction is often the order; and it may take decades to bring the work to completion.”	全面破坏将成为常态； 而且往往需要数十年来完成这项工作。
Using this macro-historical framework, we can see Japanese deflation, European debt, and even the Arab Spring as phases of systemic changes within complex structures that are interacting with one another in a new, multipolar global system.	利用微历史的框架，我们可以看到一个新的，多极化全球体系之中存在着许多不断产生互动的复杂结构，而日本通胀，欧洲债务甚至阿拉伯之春则可被视为这些结构内部某一阶段的系统性变革。
We are witnessing simultaneous global convergence (the narrowing of income, wealth, and knowledge gaps between countries) and local divergence (widening income, wealth, and knowledge gaps within countries).	我们正见证着各种同时进行中的全球收敛现象（各国之间收入，财富和知识差距的不断收窄）以及本地分化现象（各国内部收入，财富和知识差距的不断加大）。
Adaptive systems struggle with order and creativity as they evolve.	适应性系统在演化的过程中会不断在秩序和创新性之间左右摇摆。
As the philosopher Bertrand Russell presciently put it: “Security and justice require centralized governmental control, which must extend to the creation of a world government if it is to be effective.	正如英国哲学家伯特兰·罗素（Bertrand Russell）所预见的那样：“安全与正义要求集权化的政府控制，而这个系统如果要达到有效的话就势必要扩张成为一个全球政府。
Progress, on the contrary, requires the utmost scope for personal initiative that is compatible with social order.”	相反，进步则要求实现一个与社会秩序相容的，最大范围的个人主动性。 ”
A new wave of what the economist Joseph Schumpeter famously called “creative destruction” is under way: even as central banks struggle to maintain stability by flooding markets with liquidity, credit to business and households is shrinking.	一个被经济学家约瑟夫·熊彼得（Joseph Schumpeter）称之为“创造性破坏”的新浪潮已经涌现：即便中央银行奋力通过向市场注入大量流动性来保持稳定，对企业和家庭的信贷依然不断紧缩。 我们生活在一个对通胀和通缩的两大恐惧同时并存的时代；
We live in an age of simultaneous fear of inflation and deflation; of unprecedented prosperity amid growing inequality; and of technological advancement and resource depletion.	既有前所未有的繁荣，又有不断扩大的不平等； 一方面科技进步，另一方面则存在资源枯竭。
Meanwhile, existing political systems promise good jobs, sound governance, a sustainable environment, and social harmony without sacrifice – a paradise of self-interested free riders that can be sustained only by sacrificing the natural environment and the welfare of future generations.	与此同时，现有的政治系统既不愿意做出牺牲，却又承诺会提供好工作，优秀管治，可持续环境和社会和谐——这是一个自私自利的搭便车者梦想的天堂，但代价则是牺牲了自然环境以及子孙后代的福祉。
We cannot postpone the pain of adjustment forever by printing money.	我们不能通过印钞的方式永远推迟承担适应变革所带来的阵痛。
Sustainability can be achieved only when the haves become willing to sacrifice for the have-nots.	只有当既得利益者愿意为非既得利益者做出牺牲的时候，可持续性才可能实现。
The Washington Consensus of free-market reforms for developing countries ended more than two decades ago.	针对发展中国国家自由市场改革的华盛顿共识已经在20年前达成。
The INET conference in Berlin showed the need for a new one – a consensus that supports sacrifice in the interest of unity.	而柏林新经济思维研究中心会议则显示我们需要一个新的共识——为了团结统一而做出牺牲。
Europe could use it.	欧洲当采用之。
Accepting Japan at Its Word	接受日本的用词
TOKYO – In recent years, the number of tourists visiting Japan has been increasing rapidly, reaching a record 13.4 million last year, a 29% increase from 2013.	东京—近几年来，访日游客数量迅速增长，去年创出1,340万人次新高，比2013年增加29%。
Japan seems to be making great strides toward its goal of recapturing the position as an Asian cultural center that it held a century ago, when the Indian Nobel laureate poet Rabindranath Tagore lived in Tokyo.	日本似乎正在大踏步向重新成为亚洲文化中心的目标迈进。 一百年前，也就是印度诺贝尔奖诗人泰戈尔生活在东京的时候，日本曾经是亚洲文化中心。
Chinese revolutionary leaders Sun Yat-sen and Chiang Kai-shek, along with many other prominent Asians, moved there as well.	中国革命领袖孙中山和蒋介石以及其他诸多亚洲名人也纷纷来到日本。
Anyone visiting Japan today would do well to learn two key words: domo, meaning “hello,” “thanks,” or “well,” and sumimasen, which can carry any of the meanings of domo, as well as “sorry” or “excuse me.”	如今，所有来日旅客都会学会两个关键词：“多末”，意思是“你好”、“谢谢”或“很好”； 以及“斯米马赛”，它包括了domo的全部含义，还可以表达“对不起”和“劳驾”。
Ordinary Japanese say sumimasen countless times each day, to apologize to friends or strangers for even the most trivial accident or mistake.	普通日本人每天都要说无数次“斯米马赛”，有一点点事情或犯一点点错误就用这个词向朋友或陌生人致歉。
But, as Japan’s leaders have experienced firsthand since World War II, expressing regret to other countries is not so simple.	但是，自二战以来，日本领导人真切地感受到，向其他国家表达悔恨之情并不那么简单。
Yet that is precisely what Prime Minister Shinzo Abe must do in his upcoming statement marking the 70th anniversary of the end of the war.	但这正是首相安倍晋三在即将到来的二战结束70周年纪念讲话中所要做的。
The statement will be based on consultations with many of Japan’s, and the world’s, leading WWII historians, as well as – and more important – with himself, his conscience, and his heart, because he understands the significance of his words on this highly fraught topic.	该讲话将以诸多日本乃至全球著名二战史家的意见为基础，但更重要的是安倍本人、他的良知和他的用心，因为他明白，在这个高度敏感的话题上，他的用语意义重大。
Of course, Abe is far from the first Japanese leader to confront this challenge.	当然，安倍绝非首位面临如此挑战的日本领导人。
His statement will follow a long line of declarations by prime ministers and chief cabinet secretaries expressing sincere remorse over the events of WWII.	在他以前，无数首相和内阁官方长官都对二战中所发生的事件表达了诚挚的忏悔。
Twenty years ago, Prime Minister Tomiichi Murayama, the head of the Socialist Party, acknowledged that “Japan, through its colonial rule and aggression, caused tremendous damage and suffering to the people of many countries,” particularly in Asia.	二十年前，时任首相、社会党党首村山富市承认“日本的殖民统治和侵略给许多国家的人民造成了严重伤害和苦难，”特别是亚洲国家。
He went on to express “feelings of deep remorse” and offer a “heartfelt apology” to the victims.	他接着表示“感到深深的忏悔”，向受害者致以“衷心的歉意”。
Ten years later, Prime Minister Junichiro Koizumi reiterated Murayama’s words, adding that since the war, Japan had been “manifesting its remorse for the war through actions,” especially development assistance and humanitarian activities.	十年后，小泉纯一郎首相重申了村山的歉词，并说二战结束以来日本一直在“用行动表达对战争的忏悔，”特别是发展援助和人道主义行动。
Koizumi also pledged that “Japan, as a peace-loving nation, will work to achieve peace and prosperity for all humankind with all its resources.”	小泉还承诺“日本是热爱和平的国家，将尽其所能致力于实现全人类的和平与繁荣。 ”
This intractability is, in some cases, understandable; the pain of survivors and their descendants remains acute.	从某种程度上，这个棘手问题不难理解； 幸存者及其后代的痛苦依然剧烈。
But in many other cases, the unwillingness to move beyond history is driven by political interests.	但在某些情形中，不愿抛弃历史恩怨是因为政治利益。
Indeed, political motivations are behind claims that Abe does not agree with past official apologies, despite his repeated assurances that he does, as well as suggestions that he is seeking to revise history, even though he has never denied Japan’s colonial aggression.	事实上，声称安倍不同意此前的官方道歉（尽管他一再保证他同意此前的道歉），其背后便是政治动机； 同样，认为安倍试图推翻历史（尽管他从未否认日本的殖民侵略），其背后也是政治动机。
Moreover, some have produced portrayals of Japan, as a whole, as an unrepentant country – or, worse, as one that is hell-bent on remilitarization.	此外，一些人将日本的整体形象刻画为一个冥顽不灵的国家——更有甚者，说日本铁了心要重走军国主义老路。
Such depictions are breathtaking in their audacity, given Japan’s seven-decade record as a peaceful and constructive member of the international community.	这样的描述不可不谓厚颜无耻，因为七十年来日本一直是国际社会和平而具有建设性的成员。
This is not lost on those in Japan who ask for how long their country will have to apologize, with some even suggesting that after 70 years, a “tweet” on the subject should amount to adequate acknowledgement by Abe.	对于一些质问祖国究竟需要道歉多长时间的日本人来说，这一点很重要，有人甚至认为，70年后，关于该主题的一条“推特”应该足以让安倍认识到这一点。
The prime minister, however, remains committed to issuing a strong and sincere statement on the subject.	但是，首相仍决定就该主题发表强烈而诚挚的讲话。
Early this year, Abe announced his intention to use the 70th anniversary statement to communicate Japan’s remorse for the war, describe the progress the country has made in upholding peace, and describe the contributions that Japan can make to Asia and the rest of the world in the coming decades.	今年年初，安倍宣布他将在70周年讲话中表达日本对战争的忏悔，描述日本在支持和平方面所取得的进步，并表达日本可以在未来几十年对亚洲和世界其他地区的和平所做的贡献。
In fact, it is the third component of the announcement that inspires fear in some observers: By helping to build a strong security architecture in the Asia-Pacific region, Japan could undermine the ability of some actors to advance their own interests.	事实上，第三部分引起了一些观察者的担忧：通过帮助亚太地区构建强大的安全结构，日本可能破坏某些行动方主张自身利益的能力。
That is why they launched a whisper campaign against Abe’s statement months before he even began to write it.	因此，它们用谣言攻击安倍的讲话，哪怕距离讲话时间还有几个月之久、演讲词都没有开始撰写。
But, of course, Asian security and prosperity is in everyone’s interest.	但是，亚洲的安全与繁荣当然事关所有人的利益。
Given this, not even the language of Abe’s statement is particularly important; what matters is the determination he expresses, and the actions he takes to follow through – with appropriate humility – on his pledges.	因此，即便安倍讲话的用词并非十分重要，重要的是他所表达的决心，以及他（以合适的谦逊态度）拿出怎样的行动。
And it seems that Abe is, indeed, determined to make real contributions to peace, based on effective cooperation with Japan’s friends and allies.	事实上，安倍似乎决心要在与日本友邦和盟国进行有效合作的基础上为和平做出真正的贡献。
But if Asia is to move beyond its past, the victims of Japan’s wartime aggression must recognize that the Japan of 2015 is not the Japan of 1931, 1941, or even 1945, and that, as many Asian leaders have realized over the years, forgiveness benefits everyone.	但如果亚洲要超越历史恩怨，日本战时侵略的受害者就必须承认2015年的日本不是1931、1941乃至1945年的日本，并且，如许多亚洲领导人在过去几年中所认识到的，原谅可以给所有人带来好处。
In 1998, South Korean President Kim Dae-jung responded positively to a statement by former Japanese Prime Minister Keizo Obuchi.	1998年，韩国总统金大中对前日本首相小渊惠三的讲话予以积极回应。
The governments of Indonesia, the Philippines, Vietnam, and other countries have done the same, and now welcome Japan’s commitment to act with its allies to protect regional security.	印度尼西亚、菲律宾、越南和其他国家也是如此，现在它们都欢迎日本与盟国携手保护地区安全的承诺。
These countries’ openness to reconciliation have enabled Japan to recast itself as a key arbiter of regional peace and prosperity, not to mention an increasingly dynamic cultural hub.	这些国家对和解的开放态度让日本重新铸造其地区和平与繁荣重要仲裁者的形象，更不用说活力日盛的文化枢纽了。
It is time for the rest of the region to follow suit, accepting at face value Japan’s sincere apologies and working with the country to build a better future.	该地区其他国家也应该效而仿之，按字面意思接受日本诚挚的道歉，与日本共同建设更美好的未来。
At a time when Asia is facing serious security challenges, this stance could not be more urgent.	在亚洲面临严重安全挑战的当下，这一立场无比紧要。
A Big Chance for Small Farmers	小农迎来大机遇
NEW YORK – The G-8’s $20 billion initiative on smallholder agriculture, launched at the group’s recent summit in L’Aquila, Italy, is a potentially historic breakthrough in the fight against hunger and extreme poverty.	纽约——八国集团不久前在意大利拉奎拉峰会上启动的200亿美元小农援助计划或许是战胜饥饿和极端贫困的一次历史性的突破。
With serious management of the new funds, food production in Africa will soar.	如果这笔新资金能得到认真的管理，非洲的粮食生产将会大幅度增加。
Indeed, the new initiative, combined with others in health, education, and infrastructure, could be the greatest step so far toward achieving the Millennium Development Goals, the internationally agreed effort to reduce extreme poverty, disease, and hunger by half by 2015 .	实际上，这项新计划和其他医疗、教育、基础设施计划一起，有可能成为迄今为止实现千年发展目标的最有效举措，千年发展目标国际协议规定到2015年将极端贫困、疾病和饥饿人口减少到原来的半数。
During 2002-2006, I led the United Nations Millennium Project, which aimed to achieve the Millennium Development Goals, for then-UN Secretary General Kofi Annan.	2002至2006年，我为实现千年发展目标，在时任联合国秘书长科菲·安南管理下领导联合国千年发展项目。
One cornerstone of the project was “smallholder farmers,” meaning peasant farm families in Africa, Latin America, and Asia – working farms of around one hectare (2.5 acres) or less.	“小农”是这个项目的基础，“小农”一词是非洲、拉美和亚洲耕种土地不超过1公顷（合2. 5英亩）的农民家庭的代名词。
These are some of the poorest households in the world, and, ironically, some of the hungriest as well, despite being food producers.	颇具讽刺意味的是，尽管自身也生产粮食，但他们却隶属于世界最贫困、最饥饿家庭的行列。
They are hungry because they lack the ability to buy high-yield seeds, fertilizer, irrigation equipment, and other tools needed to increase productivity.	他们饥饿，是因为无力购买提高产量所需的高产种子、化肥、灌溉设备和其他工具。
As a result, their output is meager and insufficient for their subsistence.	这导致农作物产量匮乏，根本不够维持生计。
Their poverty causes low farm productivity, and low farm productivity reinforces their poverty.	他们的贫困造成农业生产率低下，而农业生产率低下又反过来加剧了贫困。
It’s a vicious circle, technically known as a poverty trap.	这形成了恶性循环，技术上被称为贫困陷阱。
The UN Millennium Project’s Hunger Task Force, led by two world-leading scientists, M. S. Swaminathan and Pedro Sanchez, examined how to break this vicious circle.	在两位世界著名科学家斯瓦米纳坦和佩德罗·桑切斯的领导下，联合国千年发展项目反饥饿工作组研究这种恶性循环应该如何打破。 工作组的结论是，如果以农业投入的方式向小农提供帮助，可能会大幅增加非洲粮食产量。
The Hunger Task Force determined that Africa could substantially increase its food production if help was given to smallholder farmers, in the form of agricultural inputs.  The Millennium Project recommended a big increase in global funding for this purpose.  Drawing on that work and related scientific findings, Annan launched a call in 2004 for an African Green Revolution, based on an expanded partnership between Africa and donor countries.	千年计划建议大幅度增加对这方面的全球资助。 根据此项成果及相关的科学发现，安南在扩大非洲和捐助国合作规模的基础上，在2004年呼吁启动非洲绿色革命。
Many of us, notably current UN Secretary General Ban Ki-moon, have worked hard to make this possible, with Ban repeatedly emphasizing the special emergency arising from the global food, financial, and energy crises of the past two years.	我们很多人，特别是现任联合国秘书长潘基文，为实现这一目标付出了艰苦的努力。 潘秘书长反复强调过去两年中全球粮食、金融和能源危机引发的特别问题。
The G-8 announcement reflects these years of effort, and of course the boost from the leadership of US President Barack Obama, Spanish Prime Minister Jose Luis Zapatero, Australian Prime Minister Kevin Rudd, World Bank President Robert Zoellick, European Commissioner Louis Michel, European Parliamentarian Thijs Berman, and others.	八国集团声明反映了这些年的努力，其中当然离不开美国总统巴拉克·奥巴马、西班牙总理何塞·路易斯·萨帕特罗、澳大利亚总理陆克文、世界银行行长罗伯特·佐立克、欧盟专员路易·米歇尔、欧洲议会议员蒂伊斯·伯曼、还有其他人的领导作用。
Now the key is to make this effort work.	现在的关键是要收到实效。
The lessons of history are clear.	历史的教训显而易见。
Getting seed and fertilizer to smallholder farmers at highly subsidized prices (or even free in some cases) will make a lasting difference.	向小农家庭发放含有大量补贴的种子和化肥（有时甚至是免费发放）将产生持续性效果。
Not only will food yields rise in the short term, but farm households will use their higher incomes and better health to accumulate all sorts of assets: cash balances, soil nutrients, farm animals, and their children’s health and education.	不仅能在短期内提高粮食产量，而且能使农户利用高收入和更好的医疗积累各种财富：现金盈余、土壤养分、家畜、及其子女的医疗和教育。
That boost in assets will, in turn, enable local credit markets, such as micro-finance, to begin operating.	资产的积累反过来会启动小额融资公司等当地信贷市场。
Farmers will be able to buy inputs, either out of their own cash, or by borrowing against their improved creditworthiness.	农户可以依靠自有资金或资信改善来以贷款的方式购买农用物资。
A consensus has now been reached on the need to assist smallholders, but obstacles remain.	目前已经就援助小农的必要性达成���一致，但在实际操作中还存在问题。
Perhaps the main risk is that the “aid bureaucracies” now trip over each other to try to get their hands on the $20 billion, so that much of it gets taken up by meetings, expert consultations, overhead, reports, and further meetings.	现在主要的风险或许是“官僚援助体系”竭力争夺这200亿美元的经费，想把尽可能多的部分用于会议、专家咨询、管理费用、报告撰写以及组织更多的会议。
“Partnerships” of donors can become an expensive end in themselves, merely delaying real action.	捐助国的“伙伴关系”自身又可能代价昂贵，而且除推迟实际行动外起不到任何作用。
If donor governments really want results, they should take the money out of the hands of thirty or more separate aid bureaucracies and pool it in one or two places, the most logical being the World Bank in Washington and the International Fund for Agricultural Development (IFAD) in Rome.	如果捐助国政府真的看重结果，就应该从30家或者更多的独立官僚援助机构中把款项收回，集中交给一两家机构管理。 最顺理成章的管理机构是华盛顿世界银行和罗马联合国国际农业发展基金。
One or both of these agencies would then have an account with several billion dollars.	这样这一两家机构就会拥有数十亿美元的扶贫账户。
Governments in hunger-stricken regions, especially Africa, would then submit national action plans that would provide details on how they would use the donor funds to get high-yield seeds, fertilizer, irrigation, farm tools, storage silos, and local advice to impoverished farmers.	饥荒地区，特别是非洲的政府，则需提交国家行动计划，提供他们打算如何利用捐助款项为贫困农民提供高产种子、化肥、灌溉、农机、仓库和咨询建议的细节。
An independent expert panel would review the national plans to verify their scientific and managerial coherence.	将由独立的专家小组对国家计划的科学性和管理的连贯性进行评估。
Assuming that a plan passes muster, the money to support it would quickly be disbursed.	如果计划通过了检验，支持计划的资金将迅速拨付到位。
Afterward, each national program would be monitored, audited, and evaluated.	而后，将对每项国家计划进行监督、审计和评估。
This approach is straightforward, efficient, accountable, and scientifically sound.	这种方法直接、有效、负责、有着不错的科学基础。
